#,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,,,,,,,,,,,,,,,
#,S,S,S,S,S,S,S,S,S,S,S,#,#,#,#,#,#,#,#,#,#,#,,,,,,,,,,,
#,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,#,#,#,#,#,#,#,#,,,,
#,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,#,,,,
#,S,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,#,,,,
#,S,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,#,#,.,.,#,#,#,#,S,S,#,#,#,,,
#,S,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,#,#,.,.,.,.,.,.,.,.,.,.,#,,,
#,S,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#
#,S,.,.,.,.,.,.,#,#,#,#,#,.,.,#,.,.,.,.,.,.,#,#,#,#,#,#,.,.,#,.,.,#
#,S,.,.,.,.,.,.,S,#,,#,S,.,.,#,.,.,#,#,#,#,#,S,S,S,S,#,.,.,#,.,.,#
#,S,.,.,.,.,.,.,S,#,#,#,S,.,.,#,.,.,#,.,.,.,.,.,.,.,S,#,#,#,#,.,.,#
#,S,S,S,S,S,S,S,S,#,,#,S,.,.,#,.,.,#,.,.,.,.,.,.,.,S,#,.,.,.,.,.,#
#,#,#,#,#,#,#,#,#,#,#,#,S,.,.,#,.,.,#,.,.,#,#,#,#,#,#,#,.,.,.,.,.,#
#,,,,,,,,,#,,#,S,.,.,#,#,#,#,.,.,.,.,.,S,.,.,.,.,.,#,.,.,#
#,#,#,#,#,#,#,#,#,#,#,#,S,.,.,.,.,.,.,.,.,.,.,.,S,.,.,.,.,.,#,.,.,#
#,.,.,.,.,.,.,.,.,#,,#,S,.,.,.,.,.,.,.,.,#,#,#,S,#,#,#,.,.,#,S,S,#
#,.,.,.,.,.,.,.,.,#,,#,S,.,.,#,#,#,#,#,#,#,.,.,S,.,.,#,.,.,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,S,.,.,.,.,.,.,.,.,.,.,.,S,.,.,#,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,#,.,#,S,.,.,.,.,.,.,.,.,.,.,.,S,.,.,#,.,.,.,.,.,#
#,#,#,#,#,#,#,#,#,#,#,#,S,.,.,#,#,#,#,#,#,F,.,.,S,.,.,#,#,#,#,.,.,#
,,#,S,S,S,#,.,.,.,.,.,.,.,.,.,.,S,S,.,.,.,.,.,S,.,.,.,.,.,#,.,.,#
,,#,S,.,.,#,.,.,.,.,.,.,.,.,.,.,S,S,.,.,.,.,.,S,.,.,.,.,.,#,.,.,#
,,#,S,.,.,#,#,#,#,.,.,#,.,.,#,#,S,S,#,#,#,#,#,S,S,S,S,.,.,#,.,.,#
,,#,S,.,.,.,.,.,.,.,.,#,.,.,S,S,S,S,S,S,S,S,S,S,#,#,S,.,.,.,.,.,#
,,#,S,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,S,.,.,.,.,.,#
,,#,S,.,.,#,.,.,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,.,.,#,#
,,#,#,S,S,#,S,S,#,S,S,#,.,.,#,#,#,#,#,#,#,#,#,#,#,#,S,S,#,.,.,#,
,,#,#,,S,S,S,S,.,.,.,#,.,.,.,.,.,.,.,.,S,S,S,S,S,S,S,#,#,.,.,#,
,,,,,,S,S,S,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,
,,,,,,,S,S,.,.,.,#,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,
,,,,,,,,S,S,S,S,#,#,#,#,.,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,
,,,,,,,,,S,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,,,,,#,#,,
,,,,,,,,,,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,,,,,S,S,,
,,,,,,,,,#,#,S,#,#,S,#,#,S,#,#,S,#,.,.,.,#,S,#,#,S,#,#,,
,,,,,,,,,#,#,S,#,#,S,#,#,S,#,#,S,#,.,.,.,#,S,#,#,S,#,#,,
