,,,,,,,#,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,#,.,.,.,.,.,.,.,#,,,,#,#,#,#,#,#,#,,,,,,,,,,,,,
,,,,,,,#,B,#,B,#,B,#,B,#,,,,,.,.,.,.,.,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,.,.,.,.,.,,,,,.,.,.,.,.,,,,,,,,,,,,,,
,,,,,,,.,.,.,.,.,.,.,.,.,,#,#,#,#,.,#,#,B,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,#,.,B,.,.,.,.,.,,,,,,,,,,,,,,
#,#,#,#,#,#,#,#,,,,,,,,,,#,.,.,.,.,.,#,,,,,,,,,,,,,,,
,,S,.,.,.,.,.,.,#,#,,,#,#,.,.,.,.,.,.,.,.,#,,,,,,,,,,,,,,,
#,#,S,.,.,.,.,.,.,#,#,,,#,#,B,.,.,.,B,.,.,B,#,,,,,,,,,,,,,,,
,,S,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,,,,,,,,,,,,,,,
#,#,S,.,.,.,.,.,.,#,#,,,#,.,.,.,,,,,,,,,,,,,,,,#,,,,,,
,,S,.,.,.,.,.,.,#,#,,,#,#,,,,,,,,,,,,,,,,#,,#,.,,,,,
#,#,#,#,,,,#,,#,,,,,,,,#,,#,,,,,,,,,#,S,#,S,#,.,,,,,
,,#,#,,,,#,,#,,,,#,#,#,#,#,S,#,,,,#,#,,,,#,.,#,.,#,.,,,,,
,,,#,.,.,.,.,,#,,,,#,S,S,S,#,.,.,.,.,.,#,#,,,,#,B,#,B,#,.,,,,,#
,,,#,,,#,,,,,,,#,.,.,.,.,.,.,.,.,.,.,.,,,,#,.,#,.,#,.,.,.,.,.,#
,,,,,.,.,.,.,,,,,#,.,.,.,.,.,.,.,.,.,.,.,,,,#,,#,,#,.,.,.,.,.,#
,,,,,,,,#,#,#,,,#,.,B,B,B,B,B,B,B,B,.,.,,,,,,,,,.,.,F,.,.,#
,,,,#,#,#,,,,,,,#,.,.,.,.,.,.,.,.,.,.,.,,,,#,,#,,#,.,.,.,.,.,#
,.,.,.,.,,,,,,,,,#,,,,,,,,,,,,,,,#,.,#,.,#,.,.,.,.,.,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,B,#,B,#,.,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,.,#,.,#,.,,,,,
,,,,,,,,,,,,,,,,,#,,#,,,,,,,,,#,S,#,S,#,.,,,,,
,,,,,,,,,,,,,,,,,#,,#,,,,,,,,,,,#,,#,.,,,,,
,,,,,,,,,,,,,,,,,#,,#,,,,,,,,,,,,,#,.,,,,,
,,,,,,,,,,,,,,,,,#,,#,,,,,,,,,,,,,,.,,,,,
,,,,,,,,,,,,,,S,S,S,#,,#,S,S,S,S,S,,,,,,,,#,.,,,,,
,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,B,,B,,B,,B,,.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,.,,,,,
,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
