,,,,,,,,#,#,,#,#,#,,,,,,,,,,,,,,,,,,,
,,,,,,,,#,#,K1,#,#,#,,,,,,,,,,,,,,,,,,,
S,S,S,S,S,S,S,S,S,S,B,S,S,S,,,,,,,,,,,,,,,,,,,
S,.,.,.,.,.,.,.,.,#,B,#,#,#,,,,,,,,,,,,,,,,,,,
S,.,.,.,.,.,.,.,.,#,B,#,K2,#,,,,,,,,,,,,,,,,,,,
S,.,.,.,.,.,.,.,.,#,B,#,.,#,,,,,,,,,,,,,,,,,#,,
S,.,.,P,.,.,K,.,.,D,.,D1,.,#,,,,,,,,#,#,#,,#,#,#,,,#,,
S,.,.,.,.,.,.,.,.,#,#,#,.,#,,,,,,,,,#,,,,#,,,,#,,
S,.,.,.,.,.,.,.,.,#,B,B,.,#,,,,,,,#,#,#,,#,#,#,,,,#,,#
S,.,.,.,.,.,.,.,.,#,B,.,.,#,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,#
S,S,S,S,S,S,S,S,S,S,.,.,.,#,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,#
,,,,,,,,,,,,,,,,,,,,,,,,#,#,#,K6,#,#,#,,#
,,,,,,,,,#,#,,#,#,,,,,,,,,,,#,,,,,,#,,
,,,,,,,,,,S,,S,,,,,,,,,,,,#,,#,S,#,,#,,
,,,,,,,,#,#,S,,S,#,#,,,,,,,,,,,,,,,,,,
,,,,,,,,,,S,,S,,,,,,,,,,,,,,#,S,#,,,,
,,,,,,,#,,#,#,,#,#,,#,,,,#,,,,,,,,,,,,,
,,.,.,.,.,.,#,,K4,.,.,.,.,,#,.,.,,#,,,.,.,,#,#,D5,#,#,,,
,,.,.,.,.,.,#,,.,.,.,.,.,,#,.,.,,#,,,.,.,,.,.,.,.,.,,,
,,.,K3,.,.,.,D2,,.,.,.,.,.,,D3,.,B,,D4,B,,.,B,,.,.,.,.,.,,,
,,.,.,.,.,.,#,,.,.,.,.,.,,#,.,.,,#,,,.,.,,.,.,.,.,B,,,
,,.,.,.,.,.,#,,.,.,.,.,K5,,#,.,.,,#,,,.,.,,.,.,.,B,B,,,
,,,,,,,#,,,,,,,,#,,,,#,,,,,,#,#,,,,,,
,,,,,,,,,S,S,D6,S,S,,,,,,,,,,,.,.,.,.,.,,,,
,,,,,,,,,.,.,.,.,.,,,,,,,,,,,,,,,#,#,,#,#
,,,,,,,,,.,.,.,.,.,,,,,,,,,,,,,,.,.,.,.,.,
,,,,,,,,,.,.,F,.,.,,,,,,,,,,,,,#,#,,#,#,,
,,,,,,,,,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
